"year","sex","age_group","cancer_site","count","Rate"
2001,"Men","20-49","Colorectum",689,6.7
2002,"Men","20-49","Colorectum",733,7.1
2003,"Men","20-49","Colorectum",752,7.2
2004,"Men","20-49","Colorectum",822,7.9
2005,"Men","20-49","Colorectum",852,8.1
2006,"Men","20-49","Colorectum",893,8.3
2007,"Men","20-49","Colorectum",846,7.9
2008,"Men","20-49","Colorectum",914,8.4
2009,"Men","20-49","Colorectum",952,8.8
2010,"Men","20-49","Colorectum",912,8.3
2011,"Men","20-49","Colorectum",1024,9.3
2012,"Men","20-49","Colorectum",1097,9.9
2013,"Men","20-49","Colorectum",1083,9.7
2014,"Men","20-49","Colorectum",1117,10.2
2015,"Men","20-49","Colorectum",1078,9.8
2016,"Men","20-49","Colorectum",1190,10.8
2017,"Men","20-49","Colorectum",1131,10.2
2018,"Men","20-49","Colorectum",1186,10.8
2019,"Men","20-49","Colorectum",1237,11.2
2001,"Men","20-49","Gallbladder",13,0.1
2002,"Men","20-49","Gallbladder",26,0.2
2003,"Men","20-49","Gallbladder",24,0.2
2004,"Men","20-49","Gallbladder",27,0.3
2005,"Men","20-49","Gallbladder",23,0.2
2006,"Men","20-49","Gallbladder",25,0.2
2007,"Men","20-49","Gallbladder",28,0.2
2008,"Men","20-49","Gallbladder",27,0.2
2009,"Men","20-49","Gallbladder",32,0.3
2010,"Men","20-49","Gallbladder",25,0.2
2011,"Men","20-49","Gallbladder",31,0.3
2012,"Men","20-49","Gallbladder",26,0.2
2013,"Men","20-49","Gallbladder",24,0.2
2014,"Men","20-49","Gallbladder",44,0.4
2015,"Men","20-49","Gallbladder",36,0.3
2016,"Men","20-49","Gallbladder",33,0.3
2017,"Men","20-49","Gallbladder",37,0.3
2018,"Men","20-49","Gallbladder",26,0.2
2019,"Men","20-49","Gallbladder",37,0.3
2001,"Men","20-49","Kidney",283,2.7
2002,"Men","20-49","Kidney",318,3.1
2003,"Men","20-49","Kidney",315,3
2004,"Men","20-49","Kidney",298,2.8
2005,"Men","20-49","Kidney",315,3
2006,"Men","20-49","Kidney",357,3.3
2007,"Men","20-49","Kidney",390,3.6
2008,"Men","20-49","Kidney",394,3.6
2009,"Men","20-49","Kidney",412,3.8
2010,"Men","20-49","Kidney",470,4.3
2011,"Men","20-49","Kidney",463,4.2
2012,"Men","20-49","Kidney",504,4.6
2013,"Men","20-49","Kidney",547,5
2014,"Men","20-49","Kidney",607,5.5
2015,"Men","20-49","Kidney",592,5.4
2016,"Men","20-49","Kidney",622,5.6
2017,"Men","20-49","Kidney",652,5.9
2018,"Men","20-49","Kidney",610,5.5
2019,"Men","20-49","Kidney",609,5.5
2001,"Men","20-49","Liver",100,1
2002,"Men","20-49","Liver",90,0.9
2003,"Men","20-49","Liver",101,1
2004,"Men","20-49","Liver",97,0.9
2005,"Men","20-49","Liver",110,1
2006,"Men","20-49","Liver",121,1.1
2007,"Men","20-49","Liver",110,1
2008,"Men","20-49","Liver",145,1.3
2009,"Men","20-49","Liver",159,1.5
2010,"Men","20-49","Liver",157,1.4
2011,"Men","20-49","Liver",111,1
2012,"Men","20-49","Liver",144,1.3
2013,"Men","20-49","Liver",144,1.3
2014,"Men","20-49","Liver",170,1.5
2015,"Men","20-49","Liver",145,1.3
2016,"Men","20-49","Liver",155,1.4
2017,"Men","20-49","Liver",146,1.3
2018,"Men","20-49","Liver",126,1.1
2019,"Men","20-49","Liver",130,1.2
2001,"Men","20-49","MultipleMyeloma",93,0.9
2002,"Men","20-49","MultipleMyeloma",90,0.9
2003,"Men","20-49","MultipleMyeloma",127,1.2
2004,"Men","20-49","MultipleMyeloma",102,1
2005,"Men","20-49","MultipleMyeloma",124,1.1
2006,"Men","20-49","MultipleMyeloma",118,1.1
2007,"Men","20-49","MultipleMyeloma",108,1
2008,"Men","20-49","MultipleMyeloma",127,1.2
2009,"Men","20-49","MultipleMyeloma",156,1.5
2010,"Men","20-49","MultipleMyeloma",128,1.1
2011,"Men","20-49","MultipleMyeloma",146,1.3
2012,"Men","20-49","MultipleMyeloma",160,1.5
2013,"Men","20-49","MultipleMyeloma",215,2
2014,"Men","20-49","MultipleMyeloma",182,1.7
2015,"Men","20-49","MultipleMyeloma",184,1.6
2016,"Men","20-49","MultipleMyeloma",184,1.6
2017,"Men","20-49","MultipleMyeloma",201,1.8
2018,"Men","20-49","MultipleMyeloma",188,1.7
2019,"Men","20-49","MultipleMyeloma",177,1.6
2001,"Men","20-49","Oral",424,4.1
2002,"Men","20-49","Oral",454,4.4
2003,"Men","20-49","Oral",453,4.4
2004,"Men","20-49","Oral",474,4.5
2005,"Men","20-49","Oral",487,4.6
2006,"Men","20-49","Oral",532,5
2007,"Men","20-49","Oral",540,5
2008,"Men","20-49","Oral",566,5.2
2009,"Men","20-49","Oral",562,5.2
2010,"Men","20-49","Oral",593,5.4
2011,"Men","20-49","Oral",621,5.6
2012,"Men","20-49","Oral",639,5.8
2013,"Men","20-49","Oral",656,6
2014,"Men","20-49","Oral",634,5.8
2015,"Men","20-49","Oral",613,5.6
2016,"Men","20-49","Oral",601,5.4
2017,"Men","20-49","Oral",627,5.7
2018,"Men","20-49","Oral",588,5.3
2019,"Men","20-49","Oral",575,5.2
2001,"Men","20-49","Pancreas",159,1.5
2002,"Men","20-49","Pancreas",129,1.2
2003,"Men","20-49","Pancreas",138,1.3
2004,"Men","20-49","Pancreas",121,1.2
2005,"Men","20-49","Pancreas",145,1.4
2006,"Men","20-49","Pancreas",138,1.3
2007,"Men","20-49","Pancreas",153,1.4
2008,"Men","20-49","Pancreas",166,1.5
2009,"Men","20-49","Pancreas",179,1.6
2010,"Men","20-49","Pancreas",170,1.6
2011,"Men","20-49","Pancreas",168,1.5
2012,"Men","20-49","Pancreas",179,1.6
2013,"Men","20-49","Pancreas",185,1.7
2014,"Men","20-49","Pancreas",199,1.8
2015,"Men","20-49","Pancreas",168,1.5
2016,"Men","20-49","Pancreas",200,1.8
2017,"Men","20-49","Pancreas",178,1.6
2018,"Men","20-49","Pancreas",199,1.8
2019,"Men","20-49","Pancreas",187,1.7
2001,"Men","20-49","Thyroid",119,1.2
2002,"Men","20-49","Thyroid",115,1.1
2003,"Men","20-49","Thyroid",150,1.4
2004,"Men","20-49","Thyroid",141,1.3
2005,"Men","20-49","Thyroid",161,1.5
2006,"Men","20-49","Thyroid",152,1.4
2007,"Men","20-49","Thyroid",175,1.6
2008,"Men","20-49","Thyroid",182,1.7
2009,"Men","20-49","Thyroid",219,2
2010,"Men","20-49","Thyroid",232,2.1
2011,"Men","20-49","Thyroid",262,2.4
2012,"Men","20-49","Thyroid",270,2.5
2013,"Men","20-49","Thyroid",276,2.5
2014,"Men","20-49","Thyroid",292,2.7
2015,"Men","20-49","Thyroid",301,2.7
2016,"Men","20-49","Thyroid",301,2.7
2017,"Men","20-49","Thyroid",306,2.8
2018,"Men","20-49","Thyroid",337,3.1
2019,"Men","20-49","Thyroid",345,3.1
2001,"Men","50+","Colorectum",14760,195.7
2002,"Men","50+","Colorectum",14796,194.1
2003,"Men","50+","Colorectum",15139,196.7
2004,"Men","50+","Colorectum",15642,201.4
2005,"Men","50+","Colorectum",15941,202.9
2006,"Men","50+","Colorectum",16320,205.3
2007,"Men","50+","Colorectum",16679,207.2
2008,"Men","50+","Colorectum",17622,215.4
2009,"Men","50+","Colorectum",17935,215.7
2010,"Men","50+","Colorectum",18359,217
2011,"Men","50+","Colorectum",18703,217.1
2012,"Men","50+","Colorectum",19095,217.2
2013,"Men","50+","Colorectum",18486,206.3
2014,"Men","50+","Colorectum",18228,199.2
2015,"Men","50+","Colorectum",18733,200.8
2016,"Men","50+","Colorectum",19043,200.2
2017,"Men","50+","Colorectum",18917,195.4
2018,"Men","50+","Colorectum",19480,198
2019,"Men","50+","Colorectum",20255,202.4
2001,"Men","50+","Gallbladder",418,5.5
2002,"Men","50+","Gallbladder",392,5.2
2003,"Men","50+","Gallbladder",407,5.3
2004,"Men","50+","Gallbladder",414,5.3
2005,"Men","50+","Gallbladder",440,5.6
2006,"Men","50+","Gallbladder",517,6.5
2007,"Men","50+","Gallbladder",536,6.7
2008,"Men","50+","Gallbladder",595,7.3
2009,"Men","50+","Gallbladder",534,6.5
2010,"Men","50+","Gallbladder",620,7.3
2011,"Men","50+","Gallbladder",634,7.4
2012,"Men","50+","Gallbladder",648,7.4
2013,"Men","50+","Gallbladder",764,8.5
2014,"Men","50+","Gallbladder",688,7.5
2015,"Men","50+","Gallbladder",730,7.8
2016,"Men","50+","Gallbladder",756,7.9
2017,"Men","50+","Gallbladder",750,7.7
2018,"Men","50+","Gallbladder",879,8.9
2019,"Men","50+","Gallbladder",880,8.8
2001,"Men","50+","Kidney",2586,34.3
2002,"Men","50+","Kidney",2720,35.7
2003,"Men","50+","Kidney",2697,35
2004,"Men","50+","Kidney",2912,37.5
2005,"Men","50+","Kidney",3064,39
2006,"Men","50+","Kidney",3299,41.5
2007,"Men","50+","Kidney",3492,43.4
2008,"Men","50+","Kidney",3649,44.6
2009,"Men","50+","Kidney",3744,45
2010,"Men","50+","Kidney",3882,45.9
2011,"Men","50+","Kidney",4166,48.3
2012,"Men","50+","Kidney",4439,50.5
2013,"Men","50+","Kidney",5144,57.4
2014,"Men","50+","Kidney",5324,58.2
2015,"Men","50+","Kidney",5319,57
2016,"Men","50+","Kidney",5446,57.3
2017,"Men","50+","Kidney",5252,54.3
2018,"Men","50+","Kidney",5593,56.9
2019,"Men","50+","Kidney",5951,59.5
2001,"Men","50+","Liver",1144,15.2
2002,"Men","50+","Liver",1289,16.9
2003,"Men","50+","Liver",1287,16.7
2004,"Men","50+","Liver",1336,17.2
2005,"Men","50+","Liver",1514,19.3
2006,"Men","50+","Liver",1662,20.9
2007,"Men","50+","Liver",1762,21.9
2008,"Men","50+","Liver",1848,22.6
2009,"Men","50+","Liver",2017,24.3
2010,"Men","50+","Liver",2192,25.9
2011,"Men","50+","Liver",2292,26.6
2012,"Men","50+","Liver",2565,29.2
2013,"Men","50+","Liver",2899,32.4
2014,"Men","50+","Liver",2989,32.7
2015,"Men","50+","Liver",3024,32.4
2016,"Men","50+","Liver",3297,34.7
2017,"Men","50+","Liver",3289,34
2018,"Men","50+","Liver",3377,34.3
2019,"Men","50+","Liver",3645,36.5
2001,"Men","50+","MultipleMyeloma",1722,22.8
2002,"Men","50+","MultipleMyeloma",1747,22.9
2003,"Men","50+","MultipleMyeloma",1848,24.1
2004,"Men","50+","MultipleMyeloma",1903,24.5
2005,"Men","50+","MultipleMyeloma",1886,24
2006,"Men","50+","MultipleMyeloma",2002,25.2
2007,"Men","50+","MultipleMyeloma",2068,25.7
2008,"Men","50+","MultipleMyeloma",2305,28.1
2009,"Men","50+","MultipleMyeloma",2367,28.5
2010,"Men","50+","MultipleMyeloma",2335,27.5
2011,"Men","50+","MultipleMyeloma",2384,27.6
2012,"Men","50+","MultipleMyeloma",2542,28.9
2013,"Men","50+","MultipleMyeloma",3228,36.1
2014,"Men","50+","MultipleMyeloma",3129,34.2
2015,"Men","50+","MultipleMyeloma",3174,34.1
2016,"Men","50+","MultipleMyeloma",3274,34.4
2017,"Men","50+","MultipleMyeloma",3487,36.1
2018,"Men","50+","MultipleMyeloma",3486,35.4
2019,"Men","50+","MultipleMyeloma",3739,37.4
2001,"Men","50+","Oral",2285,30.3
2002,"Men","50+","Oral",2162,28.4
2003,"Men","50+","Oral",2436,31.7
2004,"Men","50+","Oral",2409,31
2005,"Men","50+","Oral",2501,31.8
2006,"Men","50+","Oral",2801,35.2
2007,"Men","50+","Oral",2791,34.7
2008,"Men","50+","Oral",3067,37.5
2009,"Men","50+","Oral",3269,39.3
2010,"Men","50+","Oral",3374,39.9
2011,"Men","50+","Oral",3510,40.7
2012,"Men","50+","Oral",3812,43.4
2013,"Men","50+","Oral",3994,44.6
2014,"Men","50+","Oral",4025,44
2015,"Men","50+","Oral",4361,46.7
2016,"Men","50+","Oral",4460,46.9
2017,"Men","50+","Oral",4445,45.9
2018,"Men","50+","Oral",4658,47.4
2019,"Men","50+","Oral",5045,50.5
2001,"Men","50+","Pancreas",2723,36.1
2002,"Men","50+","Pancreas",2832,37.2
2003,"Men","50+","Pancreas",2796,36.3
2004,"Men","50+","Pancreas",2988,38.5
2005,"Men","50+","Pancreas",2990,38.1
2006,"Men","50+","Pancreas",3136,39.5
2007,"Men","50+","Pancreas",3094,38.4
2008,"Men","50+","Pancreas",3366,41.1
2009,"Men","50+","Pancreas",3379,40.6
2010,"Men","50+","Pancreas",3461,40.9
2011,"Men","50+","Pancreas",3542,41.1
2012,"Men","50+","Pancreas",3769,42.9
2013,"Men","50+","Pancreas",3988,44.5
2014,"Men","50+","Pancreas",3969,43.4
2015,"Men","50+","Pancreas",4123,44.2
2016,"Men","50+","Pancreas",4323,45.5
2017,"Men","50+","Pancreas",4483,46.3
2018,"Men","50+","Pancreas",4473,45.5
2019,"Men","50+","Pancreas",4588,45.9
2001,"Men","50+","Thyroid",211,2.8
2002,"Men","50+","Thyroid",206,2.7
2003,"Men","50+","Thyroid",201,2.6
2004,"Men","50+","Thyroid",237,3.1
2005,"Men","50+","Thyroid",231,2.9
2006,"Men","50+","Thyroid",276,3.5
2007,"Men","50+","Thyroid",314,3.9
2008,"Men","50+","Thyroid",289,3.5
2009,"Men","50+","Thyroid",325,3.9
2010,"Men","50+","Thyroid",400,4.7
2011,"Men","50+","Thyroid",383,4.4
2012,"Men","50+","Thyroid",432,4.9
2013,"Men","50+","Thyroid",476,5.3
2014,"Men","50+","Thyroid",533,5.8
2015,"Men","50+","Thyroid",518,5.6
2016,"Men","50+","Thyroid",530,5.6
2017,"Men","50+","Thyroid",605,6.3
2018,"Men","50+","Thyroid",621,6.3
2019,"Men","50+","Thyroid",593,5.9
2001,"Women","20-49","Breast",6885,66.3
2002,"Women","20-49","Breast",6804,65.2
2003,"Women","20-49","Breast",7178,68.6
2004,"Women","20-49","Breast",7345,69.7
2005,"Women","20-49","Breast",7534,70.6
2006,"Women","20-49","Breast",7569,70.3
2007,"Women","20-49","Breast",7546,69.6
2008,"Women","20-49","Breast",7916,72.5
2009,"Women","20-49","Breast",8147,74.3
2010,"Women","20-49","Breast",8593,78
2011,"Women","20-49","Breast",8435,76.2
2012,"Women","20-49","Breast",8622,77.9
2013,"Women","20-49","Breast",8871,80.2
2014,"Women","20-49","Breast",8636,78.2
2015,"Women","20-49","Breast",8604,77.9
2016,"Women","20-49","Breast",8612,78.1
2017,"Women","20-49","Breast",8473,77
2018,"Women","20-49","Breast",8448,76.9
2019,"Women","20-49","Breast",8504,77.7
2001,"Women","20-49","Colorectum",678,6.5
2002,"Women","20-49","Colorectum",697,6.6
2003,"Women","20-49","Colorectum",686,6.6
2004,"Women","20-49","Colorectum",692,6.6
2005,"Women","20-49","Colorectum",779,7.3
2006,"Women","20-49","Colorectum",817,7.7
2007,"Women","20-49","Colorectum",824,7.6
2008,"Women","20-49","Colorectum",808,7.5
2009,"Women","20-49","Colorectum",890,8.1
2010,"Women","20-49","Colorectum",919,8.4
2011,"Women","20-49","Colorectum",960,8.6
2012,"Women","20-49","Colorectum",1091,9.8
2013,"Women","20-49","Colorectum",1086,9.8
2014,"Women","20-49","Colorectum",1067,9.7
2015,"Women","20-49","Colorectum",1190,10.7
2016,"Women","20-49","Colorectum",1195,10.9
2017,"Women","20-49","Colorectum",1127,10.3
2018,"Women","20-49","Colorectum",1154,10.5
2019,"Women","20-49","Colorectum",1219,11.1
2001,"Women","20-49","Endometrium",301,2.9
2002,"Women","20-49","Endometrium",270,2.6
2003,"Women","20-49","Endometrium",338,3.2
2004,"Women","20-49","Endometrium",337,3.2
2005,"Women","20-49","Endometrium",361,3.4
2006,"Women","20-49","Endometrium",392,3.6
